Date,unc
1975-05,0.003804457702382565
1975-06,0.004975562708672835
1975-07,0.005709176217234314
1975-08,0.005859742141859731
1975-09,0.003914611548172197
1975-10,0.002788820992659983
1975-11,0.004564230941854805
1975-12,0.008131419143401307
1976-01,0.008163172743460997
1976-02,0.005912491773296716
1976-03,0.003415476274034066
1976-04,0.0033965694085653156
1976-05,0.004736774191831765
1976-06,0.005922050866146137
1976-07,0.007206785730620006
1976-08,0.0058220191506941875
1976-09,0.003922775143923609
1976-10,0.0025348084358804497
1976-11,0.003874680487423828
1976-12,0.005543313177329668
1977-01,0.006516830516948631
1977-02,0.004605939678680272
1977-03,0.0034232559500689155
1977-04,0.002933554443635582
1977-05,0.004128890902783203
1977-06,0.005161747396400391
1977-07,0.005844888360618463
1977-08,0.005777551073435778
1977-09,0.00380378577524133
